% time	cellId	IMSI	RNTI	txMode	layer	mcs	size	rv	ndi	correct
4045	7	61	7	0	0	10	935	0	1	1
4046	7	64	8	0	0	18	1980	0	1	1
4047	7	66	11	0	0	4	437	0	1	1
4048	1	2	19	0	0	0	165	0	1	0
4048	7	69	1	0	0	16	1836	0	1	1
4049	5	49	67	0	0	0	165	0	1	0
4049	7	65	4	0	0	6	621	0	1	1
4050	1	1	6	0	0	0	165	0	1	1
4050	7	67	12	0	0	4	437	0	1	1
4051	7	63	3	0	0	14	1527	0	1	1
4052	7	70	2	0	0	12	1191	0	1	1
4053	7	68	5	0	0	4	437	0	1	1
4054	7	61	7	0	0	10	935	0	1	1
4055	1	2	19	0	0	0	165	1	0	1
4055	7	62	6	0	0	6	621	0	1	1
4056	7	64	8	0	0	18	1980	0	1	1
4057	1	9	23	0	0	0	165	0	1	0
4057	7	66	11	0	0	4	437	0	1	1
4058	7	69	1	0	0	16	1836	0	1	1
4059	1	4	3	0	0	0	165	0	1	1
4059	7	67	12	0	0	4	437	0	1	1
4060	6	60	8	0	0	0	165	0	1	0
4060	7	63	3	0	0	14	1527	0	1	1
4061	1	1	6	0	0	0	165	0	1	1
4061	5	48	77	0	0	0	165	0	1	0
4061	7	65	4	0	0	6	621	0	1	1
4062	7	70	2	0	0	12	1191	0	1	1
4063	4	38	37	0	0	0	165	0	1	0
4063	7	68	5	0	0	4	437	0	1	1
4064	7	61	7	0	0	10	935	0	1	1
4065	7	64	8	0	0	18	1980	0	1	1
4066	1	10	15	0	0	0	165	0	1	0
4066	7	69	1	0	0	16	1836	0	1	1
4067	7	66	11	0	0	4	437	0	1	1
4068	7	62	6	0	0	6	621	0	1	1
4069	4	36	121	0	0	0	165	0	1	0
4069	5	46	56	0	0	0	165	0	1	0
4069	7	67	12	0	0	4	437	0	1	1
4070	1	4	3	0	0	0	165	0	1	1
4070	7	63	3	0	0	14	1527	0	1	1
4071	1	2	19	0	0	0	165	0	1	0
4071	7	70	2	0	0	12	1191	0	1	1
4072	1	1	6	0	0	0	165	0	1	1
4072	6	53	12	0	0	0	165	0	1	0
4072	7	65	4	0	0	6	621	0	1	1
4073	7	68	5	0	0	4	437	0	1	1
4074	3	23	23	0	0	0	165	0	1	0
4074	7	61	7	0	0	10	935	0	1	1
4075	7	64	8	0	0	18	1980	0	1	1
4076	7	69	1	0	0	16	1836	0	1	1
4077	7	66	11	0	0	4	437	0	1	1
4078	1	2	19	0	0	0	165	1	0	1
4078	7	62	6	0	0	6	621	0	1	1
4079	1	3	58	0	0	0	165	0	1	0
4079	7	67	12	0	0	4	437	0	1	1
4080	1	9	23	0	0	0	165	0	1	0
4080	6	58	2	0	0	0	165	0	1	0
4080	7	63	3	0	0	14	1527	0	1	1
4081	3	23	23	0	0	0	165	1	0	1
4081	7	70	2	0	0	12	1191	0	1	1
4082	1	4	3	0	0	0	165	0	1	1
4082	7	68	5	0	0	4	437	0	1	1
4083	7	61	7	0	0	10	935	0	1	1
4084	6	52	30	0	0	0	165	0	1	0
4084	7	65	4	0	0	6	621	0	1	1
4085	1	8	7	0	0	0	165	0	1	0
4085	3	30	59	0	0	0	165	0	1	0
4085	7	64	8	0	0	18	1980	0	1	1
4086	7	69	1	0	0	16	1836	0	1	1
4087	7	66	11	0	0	4	437	0	1	1
4088	7	62	6	0	0	6	621	0	1	1
4089	7	63	3	0	0	14	1527	0	1	1
4090	7	67	12	0	0	4	437	0	1	1
4091	2	11	34	0	0	0	165	0	1	0
4091	3	22	160	0	0	0	165	0	1	0
4091	7	70	2	0	0	12	1191	0	1	1
4092	7	68	5	0	0	4	437	0	1	1
4093	2	15	99	0	0	0	165	0	1	0
4093	7	61	7	0	0	10	935	0	1	1
4094	7	64	8	0	0	18	1980	0	1	1
4095	7	65	4	0	0	6	621	0	1	1
4096	1	2	19	0	0	0	165	0	1	0
4096	7	69	1	0	0	16	1836	0	1	1
