% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi
2400	3	29	85	0	0	165	0	1
2400	4	35	145	0	0	165	0	1
2400	5	47	49	0	0	165	0	1
2400	6	56	54	0	0	165	0	1
2400	7	64	8	0	18	1980	0	1
2401	1	5	49	0	0	165	0	1
2401	2	20	15	0	0	165	0	1
2401	3	24	94	0	0	165	0	1
2401	4	40	33	0	0	165	0	1
2401	5	46	56	0	0	165	0	1
2401	6	54	55	0	0	165	0	1
2401	7	69	1	0	16	1836	0	1
2402	1	4	3	0	0	165	0	1
2402	2	20	15	0	0	165	1	0
2402	3	26	102	0	0	165	0	1
2402	4	38	37	0	0	165	0	1
2402	5	41	58	0	0	165	0	1
2402	6	51	81	0	0	165	0	1
2402	7	67	12	0	4	437	0	1
2403	1	5	49	0	0	165	1	0
2403	2	20	15	0	0	165	0	1
2403	3	25	123	0	0	165	0	1
2403	4	37	42	0	0	165	0	1
2403	5	49	67	0	0	165	0	1
2403	6	57	1	0	0	165	0	1
2403	7	62	6	0	6	621	0	1
2404	1	2	19	0	0	165	0	1
2404	2	20	15	0	0	165	0	1
2404	3	22	160	0	0	165	0	1
2404	4	39	74	0	0	165	0	1
2404	5	48	77	0	0	165	0	1
2404	6	58	2	0	0	165	0	1
2404	7	63	3	0	14	1527	0	1
2405	1	2	19	0	0	165	1	0
2405	3	28	219	0	0	165	0	1
2405	4	36	121	0	0	165	1	0
2405	5	44	105	0	0	165	0	1
2405	6	59	3	0	0	165	0	1
2405	7	70	2	0	12	1191	0	1
2406	1	1	6	0	0	165	0	1
2406	3	21	237	0	0	165	0	1
2406	4	34	89	0	0	165	0	1
2406	5	42	12	0	0	165	0	1
2406	6	60	8	0	0	165	0	1
2406	7	68	5	0	4	437	0	1
2407	1	3	58	0	0	165	0	1
2407	3	29	85	0	0	165	1	0
2407	4	31	93	0	0	165	0	1
2407	5	43	23	0	0	165	0	1
2407	6	53	12	0	0	165	0	1
2407	7	61	7	0	10	935	0	1
2408	1	5	49	0	0	165	0	1
2408	3	23	23	0	0	165	0	1
2408	4	32	110	0	0	165	0	1
2408	5	45	33	0	0	165	0	1
2408	6	52	30	0	0	165	0	1
2408	7	65	4	0	6	621	0	1
2409	1	4	3	0	0	165	0	1
2409	2	20	15	0	0	165	0	1
2409	3	26	102	0	0	165	1	0
2409	4	36	121	0	0	165	0	1
2409	5	50	45	0	0	165	0	1
2409	6	55	40	0	0	165	0	1
2409	7	66	11	0	4	437	0	1
2410	1	2	19	0	0	165	0	1
2410	2	20	15	0	0	165	0	1
2410	3	30	59	0	0	165	0	1
2410	4	33	126	0	0	165	0	1
2410	5	47	49	0	0	165	0	1
2410	6	56	54	0	0	165	0	1
2410	7	64	8	0	18	1980	0	1
2411	1	2	19	0	0	165	1	0
2411	2	20	15	0	0	165	0	1
2411	3	27	65	0	0	165	0	1
2411	4	35	145	0	0	165	0	1
2411	5	48	77	0	0	165	1	0
2411	6	54	55	0	0	165	0	1
2411	7	69	1	0	16	1836	0	1
2412	1	1	6	0	0	165	0	1
2412	2	20	15	0	0	165	0	1
2412	3	29	85	0	0	165	0	1
2412	4	40	33	0	0	165	0	1
2412	5	46	56	0	0	165	0	1
2412	6	51	81	0	0	165	0	1
2412	7	67	12	0	4	437	0	1
2413	1	3	58	0	0	165	0	1
2413	2	20	15	0	0	165	0	1
2413	3	24	94	0	0	165	0	1
2413	4	38	37	0	0	165	0	1
2413	5	41	58	0	0	165	0	1
2413	6	57	1	0	0	165	0	1
2413	7	63	3	0	14	1527	0	1
2414	1	5	49	0	0	165	0	1
2414	2	20	15	0	0	165	0	1
2414	3	26	102	0	0	165	0	1
2414	4	31	93	0	0	165	1	0
2414	5	49	67	0	0	165	0	1
2414	6	58	2	0	0	165	0	1
2414	7	62	6	0	6	621	0	1
2415	1	4	3	0	0	165	0	1
2415	2	20	15	0	0	165	0	1
2415	3	25	123	0	0	165	0	1
2415	4	32	110	0	0	165	1	0
2415	5	48	77	0	0	165	0	1
2415	6	59	3	0	0	165	0	1
2415	7	70	2	0	12	1191	0	1
2416	1	2	19	0	0	165	0	1
2416	2	20	15	0	0	165	0	1
2416	3	22	160	0	0	165	0	1
2416	4	37	42	0	0	165	0	1
2416	5	44	105	0	0	165	0	1
2416	6	60	8	0	0	165	0	1
2416	7	68	5	0	4	437	0	1
2417	1	1	6	0	0	165	0	1
2417	3	28	219	0	0	165	0	1
2417	4	39	74	0	0	165	0	1
2417	5	47	49	0	0	165	1	0
2417	6	53	12	0	0	165	0	1
2417	7	61	7	0	10	935	0	1
2418	1	3	58	0	0	165	0	1
2418	3	21	237	0	0	165	0	1
2418	4	34	89	0	0	165	0	1
2418	5	48	77	0	0	165	2	0
2418	6	52	30	0	0	165	0	1
2418	7	66	11	0	4	437	0	1
2419	1	5	49	0	0	165	0	1
2419	3	23	23	0	0	165	0	1
2419	4	31	93	0	0	165	0	1
2419	5	42	12	0	0	165	0	1
2419	6	55	40	0	0	165	0	1
2419	7	64	8	0	18	1980	0	1
2420	1	4	3	0	0	165	0	1
2420	3	30	59	0	0	165	0	1
2420	4	32	110	0	0	165	0	1
2420	5	43	23	0	0	165	0	1
2420	6	56	54	0	0	165	0	1
2420	7	69	1	0	16	1836	0	1
2421	1	2	19	0	0	165	0	1
2421	2	20	15	0	0	165	0	1
2421	3	27	65	0	0	165	0	1
2421	4	36	121	0	0	165	0	1
2421	5	45	33	0	0	165	0	1
2421	6	54	55	0	0	165	0	1
2421	7	65	4	0	6	621	0	1
2422	1	1	6	0	0	165	0	1
2422	2	20	15	0	0	165	0	1
2422	3	29	85	0	0	165	0	1
2422	4	33	126	0	0	165	0	1
2422	5	50	45	0	0	165	0	1
2422	6	51	81	0	0	165	0	1
2422	7	67	12	0	4	437	0	1
2423	1	2	19	0	0	165	1	0
2423	2	20	15	0	0	165	0	1
2423	3	24	94	0	0	165	0	1
2423	4	35	145	0	0	165	0	1
2423	5	47	49	0	0	165	0	1
2423	6	57	1	0	0	165	0	1
2423	7	63	3	0	14	1527	0	1
2424	1	3	58	0	0	165	0	1
2424	2	20	15	0	0	165	0	1
2424	3	26	102	0	0	165	0	1
2424	4	40	33	0	0	165	0	1
2424	5	46	56	0	0	165	0	1
2424	6	58	2	0	0	165	0	1
2424	7	70	2	0	12	1191	0	1
2425	1	5	49	0	0	165	0	1
2425	2	20	15	0	0	165	0	1
2425	3	25	123	0	0	165	0	1
2425	4	38	37	0	0	165	0	1
2425	5	41	58	0	0	165	0	1
2425	6	59	3	0	0	165	0	1
2425	7	62	6	0	6	621	0	1
2426	1	4	3	0	0	165	0	1
2426	2	20	15	0	0	165	0	1
2426	3	22	160	0	0	165	0	1
2426	4	37	42	0	0	165	0	1
2426	5	49	67	0	0	165	0	1
2426	6	60	8	0	0	165	0	1
2426	7	68	5	0	4	437	0	1
2427	1	2	19	0	0	165	0	1
2427	2	20	15	0	0	165	0	1
2427	3	28	219	0	0	165	0	1
2427	4	39	74	0	0	165	0	1
2427	5	48	77	0	0	165	0	1
2427	6	53	12	0	0	165	0	1
2427	7	61	7	0	10	935	0	1
2428	1	1	6	0	0	165	0	1
2428	2	20	15	0	0	165	0	1
2428	3	21	237	0	0	165	0	1
2428	4	34	89	0	0	165	0	1
2428	5	44	105	0	0	165	0	1
2428	6	52	30	0	0	165	0	1
2428	7	66	11	0	4	437	0	1
2429	1	3	58	0	0	165	0	1
2429	3	29	85	0	0	165	1	0
2429	4	31	93	0	0	165	0	1
2429	5	42	12	0	0	165	0	1
2429	6	55	40	0	0	165	0	1
2429	7	64	8	0	18	1980	0	1
2430	1	5	49	0	0	165	0	1
2430	3	23	23	0	0	165	0	1
2430	4	32	110	0	0	165	0	1
2430	5	43	23	0	0	165	0	1
2430	6	56	54	0	0	165	0	1
2430	7	69	1	0	16	1836	0	1
2431	1	4	3	0	0	165	0	1
2431	3	30	59	0	0	165	0	1
2431	4	36	121	0	0	165	0	1
2431	5	45	33	0	0	165	0	1
2431	6	54	55	0	0	165	0	1
2431	7	65	4	0	6	621	0	1
2432	1	2	19	0	0	165	0	1
2432	3	27	65	0	0	165	0	1
2432	4	33	126	0	0	165	0	1
2432	5	50	45	0	0	165	0	1
2432	6	51	81	0	0	165	0	1
2432	7	67	12	0	4	437	0	1
2433	1	4	3	0	0	165	1	0
2433	2	20	15	0	0	165	0	1
2433	3	29	85	0	0	165	0	1
