% time	cellId	IMSI	frame	sframe	RNTI	mcsTb1	sizeTb1	mcsTb2	sizeTb2
8.539	6	54	854	10	55	0	165	0	0
8.539	7	61	854	10	7	10	935	0	0
8.54	1	7	855	1	8	0	165	0	0
8.54	2	16	855	1	44	0	165	0	0
8.54	3	26	855	1	102	0	165	0	0
8.54	4	32	855	1	110	0	165	0	0
8.54	5	42	855	1	12	0	165	0	0
8.54	6	59	855	1	3	0	165	0	0
8.54	7	68	855	1	5	4	437	0	0
8.541	1	9	855	2	23	0	165	0	0
8.541	2	11	855	2	34	0	165	0	0
8.541	3	23	855	2	23	0	165	0	0
8.541	4	36	855	2	121	0	165	0	0
8.541	5	43	855	2	23	0	165	0	0
8.541	6	51	855	2	81	0	165	0	0
8.541	7	64	855	2	8	18	1980	0	0
8.542	1	6	855	3	59	0	165	0	0
8.542	2	12	855	3	73	0	165	0	0
8.542	3	25	855	3	123	0	165	0	0
8.542	4	33	855	3	126	0	165	0	0
8.542	5	45	855	3	33	0	165	0	0
8.542	6	53	855	3	12	0	165	0	0
8.542	7	65	855	3	4	6	621	0	0
8.543	1	4	855	4	3	0	165	0	0
8.543	2	15	855	4	99	0	165	0	0
8.543	3	22	855	4	160	0	165	0	0
8.543	4	35	855	4	145	0	165	0	0
8.543	5	50	855	4	45	0	165	0	0
8.543	6	57	855	4	1	0	165	0	0
8.543	7	69	855	4	1	16	1836	0	0
8.544	1	10	855	5	15	0	165	0	0
8.544	2	14	855	5	108	0	165	0	0
8.544	3	28	855	5	219	0	165	0	0
8.544	4	40	855	5	33	0	165	0	0
8.544	5	47	855	5	49	0	165	0	0
8.544	6	58	855	5	2	0	165	0	0
8.544	7	66	855	5	11	4	437	0	0
8.545	1	3	855	6	58	0	165	0	0
8.545	2	13	855	6	116	0	165	0	0
8.545	3	23	855	6	23	0	165	0	0
8.545	4	38	855	6	37	0	165	0	0
8.545	5	46	855	6	56	0	165	0	0
8.545	6	56	855	6	54	0	165	0	0
8.545	7	63	855	6	3	14	1527	0	0
8.546	1	9	855	7	23	0	165	0	0
8.546	2	16	855	7	44	0	165	0	0
8.546	3	30	855	7	59	0	165	0	0
8.546	4	37	855	7	42	0	165	0	0
8.546	5	41	855	7	58	0	165	0	0
